BveTs Station List 2.00
00,新倉敷		,p		,15:11:15	,0	,15:11:15,0,25,0.71	,,,0.12  ,1
01,岡山			,15:15:15	,15:16:45	,60	,15:15:45,0,38,0.78	,,,0.12  ,1
02,相生			,p		,		,25	,	 ,0,25,0.78	,,,0.12  ,1
03,姫路			,p		,		,60	,	 ,0,25,0.78	,,,0.01 ,3
04,西明石		,p		,		,25	,	 ,0,25,0.78	,,,0.12  ,1
05,新神戸		,15:48:00	,15:49:00	,45	,15:48:15,0,29,0.79	,,,0.12  ,1
06,新大阪		,16:01:00	,16:03:30	,90	,16:02:00,0,45,0.83	,,,0.12  ,1
07,鳥飼信号場		,p		,		,25	,	 ,0,1 ,0.83	,,,0.12  ,1
08,京都	　		,16:16:30	,16:18:00	,60	,16:17:00,0,37,0.81	,,,0.12  ,1
09,栗東信号場		,p		,		,60	,	 ,0,16,0.81	,,,0.01 ,3
10,米原			,p		,		,45	,	 ,0,16,0.81	,,,0.12  ,1
11,岐阜羽島		,p		,		,45	,	 ,0,16,0.81	,,,0.12  ,1
12,名古屋		,16:53:30	,16:55:00	,60	,16:54:00,0,41,0.95	,,,0.12  ,1
13,三河安城		,p		,		,25	,	 ,0,15,0.95	,,,0.12  ,1
14,豊橋			,p		,		,60	,	 ,0,15,0.95	,,,0.12  ,1
15,浜松　		,p		,		,25	,	 ,0,20,0.95	,,,0.12  ,1
16,掛川			,p		,		,25	,	 ,0,15,0.95	,,,0.12  ,1
17,静岡			,p		,		,90	,	 ,0,20,0.95	,,,0.12  ,1
18,新富士		,p		,		,25	,	 ,0,15,0.95	,,,0.12  ,1
19,三島			,p		,		,60	,	 ,0,20,0.95	,,,0.12  ,1
20,熱海　		,p		,		,25	,	 ,0,15,0.95	,,,0.12  ,1
21,小田原		,p		,		,25	,	 ,0,18,0.95	,,,0.12  ,1
22,新横浜		,18:13:00	,18:14:00	,45	,18:13:15,0,31,0.73	,,,0.12  ,1
23,品川			,18:25:00	,18:26:00	,45	,18:25:15,0,33,0.46	,,,0.12  ,1
24,東京			,18:33:15	,t		,45	,18:33:15,0,58,0.11	,,,0.12  ,1
