BveTs Station List 2.00
01,岡山			,15:15:00	,15:16:30	,60	,15:15:30	,0,4,0.61	,,,0.01 ,3
02,相生			,p		,		,	,		,0,3,0.61	,,,0.12  ,1
03,姫路			,p		,		,	,		,0,3,0.61	,,,0.12  ,1
04,西明石		,p		,		,	,		,0,3,0.61	,,,0.12  ,1
05,新神戸　		,15:48:00	,15:49:00	,60	,15:48:00	,0,3,0.61	,,,0.12  ,1
06,新大阪		,16:01:00	,16:03:45	,60	,16:02:45	,0,3,0.61	,,,0.12  ,1
07,鳥飼			,p		,		,	,		,0,3,0.61	,,,0.12  ,1
08,京都			,16:16:30	,16:18:00	,60	,16:17:00	,0,3,0.61	,,,0.12  ,1
09,米原			,p		,		,25	,		,0,3,0.61	,,,0.12  ,1
10,岐阜羽島		,p		,		,60	,		,0,3,0.61	,,,0.12  ,1
11,名古屋　		,16:52:30	,16:54:00	,60	,16:53:00	,0,3,0.61	,,,0.12  ,1
12,三河安城		,p		,		,25	,		,0,3,0.61	,,,0.12  ,1
13,浜松			,p		,		,90	,		,0,3,0.61	,,,0.12  ,1
14,静岡			,p		,		,25	,		,0,3,0.61	,,,0.12  ,1
15,三島			,p		,17:41:15	,60	,17:41:15	,0,3,0.61	,,,0.12  ,1
16,熱海　		,p		,17:44:45	,25	,17:44:45	,0,3,0.61	,,,0.12  ,1
17,小田原		,p		,17:49:45	,25	,17:49:45	,0,3,0.61	,,,0.12  ,1
18,新横浜		,18:00:45	,18:01:45	,60	,18:00:45	,0,3,0.61	,,,0.12  ,1
19,品川			,18:12:15	,18:13:15	,60	,18:12:15	,0,3,0.61	,,,0.12  ,1
20,東京			,18:20:15	,t		,60	,18:20:15	,0,3,0.61	,,,0.12  ,1
