BveTs Station List 2.00
01,岡山			,14:00:00	,14:01:00	,60	,14:00:00,0,4,0.61	,,,0.01 ,3
02,相生			,14:07:00	,14:08:00	,25	,14:07:30,0,3,0.61	,,,0.12  ,1
03,姫路			,p		,14:11:15	,25	,14:11:15,0,3,0.61	,,,0.12  ,1
04,西明石		,14:14:15	,14:15:15	,25	,14:14:45,0,3,0.61	,,,0.12  ,1
05,新神戸　		,p		,14:18:00	,25	,14:18:00,0,3,0.61	,,,0.12  ,1
06,新大阪		,14:21:30	,14:26:00	,45	,14:25:15,0,3,0.61	,,,0.12  ,1
07,鳥飼			,14:21:30	,14:26:00	,45	,14:25:15,0,3,0.61	,,,0.12  ,1
08,京都			,p		,14:29:30	,25	,14:29:30,0,3,0.61	,,,0.12  ,1
09,米原			,p		,14:31:00	,25	,14:31:00,0,3,0.61	,,,0.12  ,1
10,岐阜羽島		,14:34:15	,14:36:15	,60	,14:35:15,0,3,0.61	,,,0.12  ,1
11,名古屋　		,p		,		,25	,	 ,0,3,0.61	,,,0.12  ,1
12,三河安城		,p		,14:39:45	,25	,14:39:45,0,3,0.61	,,,0.12  ,1
13,浜松			,14:45:45	,14:47:15	,90	,14:45:45,0,3,0.61	,,,0.12  ,1
14,静岡			,14:54:15	,14:54:15	,25	,14:55:45,0,3,0.61	,,,0.12  ,1
15,三島			,14:34:15	,14:36:15	,60	,14:35:15,0,3,0.61	,,,0.12  ,1
16,熱海　		,p		,		,25	,	 ,0,3,0.61	,,,0.12  ,1
17,小田原		,p		,14:39:45	,25	,14:39:45,0,3,0.61	,,,0.12  ,1
18,新横浜		,14:45:45	,14:47:15	,90	,14:45:45,0,3,0.61	,,,0.12  ,1
19,品川			,14:54:15	,14:54:15	,25	,14:55:45,0,3,0.61	,,,0.12  ,1
20,東京			,14:54:15	,14:54:15	,25	,14:55:45,0,3,0.61	,,,0.12  ,1
